AgentName,Role,Episode,StepCount,Reward,AttackAttempts,AttackSuccesses,DefendAttempts,DefendSuccesses,DodgeAttempts,EndTime,Duration,IsDead
Player 1,Defender,92,0,0.50,0,0,0,0,0,5.12,0.00,False
Player 1,Defender,94,277,26.61,74,0,59,0,1,5.52,5.52,False
Player 1,Defender,100,0,0.50,0,0,0,0,0,6.00,0.00,False
Player 1,Defender,104,0,0.50,0,0,0,0,0,6.10,0.00,False
Player 1,Defender,108,0,0.50,0,0,0,0,0,6.54,0.00,False
Player 1,Defender,112,0,0.50,0,0,0,0,0,6.82,0.00,False
Player 1,Defender,116,0,0.50,0,0,0,0,0,8.20,0.00,False
Player 1,Defender,120,0,0.50,0,0,0,0,0,8.52,0.00,False
Player 1,Defender,124,0,0.50,0,0,0,0,0,8.72,0.00,False
Player 1,Defender,126,443,71.50,101,0,97,0,1,8.84,8.84,False
Player 1,Defender,130,466,73.64,102,0,135,0,1,9.30,9.30,False
Player 1,Defender,134,482,82.50,99,0,105,0,1,9.62,9.62,False
Player 1,Defender,138,530,86.20,105,0,125,0,2,10.58,10.58,False
Player 1,Defender,142,535,64.31,168,0,97,0,2,10.68,10.68,False
Player 1,Defender,146,169,11.40,37,0,33,0,26,11.58,3.38,False
Player 1,Defender,150,585,85.56,142,0,137,0,2,11.68,11.68,False
Player 1,Defender,154,594,72.67,177,0,140,0,2,11.86,11.86,False
Player 1,Defender,160,0,0.50,0,0,0,0,0,12.10,0.00,False
Player 1,Defender,162,612,81.82,155,0,146,0,2,12.22,12.22,False
Player 1,Defender,168,0,0.50,0,0,0,0,0,12.36,0.00,False
Player 1,Defender,170,667,94.89,170,0,152,0,2,13.32,13.32,False
Player 1,Defender,174,245,22.93,68,0,47,0,22,13.42,4.90,False
Player 1,Defender,178,737,129.03,160,0,157,0,2,14.72,14.72,False
Player 1,Defender,182,462,64.56,114,0,113,0,52,15.24,9.24,False
Player 1,Defender,186,299,47.16,49,0,71,0,11,15.28,5.98,False
Player 1,Defender,190,432,51.68,107,0,108,0,36,15.46,8.64,False
Player 1,Defender,194,784,123.21,167,0,188,0,3,15.66,15.66,False
Player 1,Defender,198,791,112.31,186,0,181,0,3,15.80,15.80,False
Player 1,Defender,202,892,121.88,234,0,199,0,3,17.82,17.82,False
Player 1,Defender,206,329,38.75,83,0,59,0,13,18.68,6.58,False
Player 1,Defender,210,696,87.24,166,0,154,0,58,19.04,13.92,False
Player 1,Defender,214,628,83.39,144,0,129,0,44,19.10,12.56,False
Player 1,Defender,218,515,92.99,86,0,99,0,17,19.14,10.30,False
Player 1,Defender,222,451,82.83,88,0,86,0,72,19.60,9.02,False
Player 1,Defender,226,990,183.83,203,0,212,0,3,19.78,19.78,False
Player 1,Defender,232,0,0.50,0,0,0,0,0,20.18,0.00,False
Player 1,Defender,234,1037,185.09,213,0,221,0,4,20.72,20.72,False
Player 1,Defender,238,458,60.53,99,1,86,0,52,21.52,9.16,False
Player 1,Defender,242,1094,169.59,264,0,221,0,4,21.86,21.86,False
Player 1,Defender,246,1164,192.83,275,0,253,0,4,23.26,23.26,False
Player 1,Defender,252,0,0.50,0,0,0,0,0,23.32,0.00,False
Player 1,Defender,254,582,104.22,102,0,114,0,47,23.32,11.64,False
Player 1,Defender,258,1177,231.87,217,0,252,0,4,23.52,23.52,False
Player 1,Defender,262,420,73.13,80,0,78,0,74,23.68,8.40,False
Player 1,Defender,268,0,0.50,0,0,0,0,0,23.74,0.00,False
Player 1,Defender,270,235,35.84,32,0,53,0,16,23.74,4.70,False
Player 1,Defender,274,1191,187.72,307,0,216,0,4,23.80,23.80,False
Player 1,Defender,280,0,0.50,0,0,0,0,0,23.82,0.00,False
Player 1,Defender,282,1195,177.96,308,0,230,0,4,23.88,23.88,False
Player 1,Defender,286,1198,177.22,312,0,231,0,4,23.94,23.94,False
Player 1,Defender,292,0,0.50,0,0,0,0,0,24.14,0.00,False
Player 1,Defender,296,0,0.50,0,0,0,0,0,24.32,0.00,False
Player 1,Defender,298,1243,247.72,239,0,267,0,4,24.84,24.84,False
Player 1,Defender,302,365,64.69,63,0,56,0,38,25.12,7.30,False
Player 1,Defender,306,1268,245.51,247,0,291,0,5,25.34,25.34,False
Player 1,Defender,312,0,0.50,0,0,0,0,0,25.52,0.00,False
Player 1,Defender,314,1284,218.71,307,0,238,0,5,25.66,25.66,False
Player 1,Defender,318,1291,231.91,300,0,255,0,5,25.80,25.80,False
Player 1,Defender,322,127,9.49,20,0,29,0,28,25.86,2.54,False
Player 1,Defender,328,0,0.50,0,0,0,0,0,26.08,0.00,False
Player 1,Defender,330,1306,205.95,323,0,255,0,5,26.10,26.10,False
Player 1,Defender,336,0,0.50,0,0,0,0,0,26.32,0.00,False
Player 1,Defender,338,346,68.78,56,0,72,0,12,26.70,6.92,False
Player 1,Defender,342,388,73.89,71,0,62,0,16,27.36,7.76,False
Player 1,Defender,348,0,0.50,0,0,0,0,0,27.38,0.00,False
Player 1,Defender,350,1375,271.95,297,0,309,0,5,27.48,27.48,False
Player 1,Defender,354,1393,271.38,298,0,303,0,5,27.84,27.84,False
Player 1,Defender,358,416,69.81,73,1,85,0,56,28.50,8.32,False
Player 1,Defender,364,0,0.50,0,0,0,0,0,29.00,0.00,False
Player 1,Defender,366,249,33.81,40,0,52,0,17,29.12,4.98,False
Player 1,Defender,372,0,0.50,0,0,0,0,0,29.36,0.00,False
Player 1,Defender,374,1490,270.23,315,0,340,0,5,29.78,29.78,False
Player 1,Defender,378,455,91.47,69,0,77,0,76,29.82,9.10,False
Player 1,Defender,382,1518,276.39,324,0,321,0,5,30.34,30.34,False
Player 1,Defender,386,332,45.26,63,0,41,0,24,30.38,6.64,False
Player 1,Defender,390,855,155.96,163,0,176,0,28,30.52,17.10,False
Player 1,Defender,396,0,0.50,0,0,0,0,0,30.94,0.00,False
Player 1,Defender,398,1016,191.25,219,0,207,0,76,31.00,20.32,False
Player 1,Defender,402,373,73.43,57,0,63,0,36,31.14,7.46,False
Player 1,Defender,408,0,0.50,0,0,0,0,0,31.26,0.00,False
Player 1,Defender,412,0,0.50,0,0,0,0,0,31.78,0.00,False
Player 1,Defender,414,148,21.99,21,0,23,0,20,32.08,2.96,False
Player 1,Defender,418,325,42.07,68,0,56,0,66,32.82,6.50,False
Player 1,Defender,424,0,0.50,0,0,0,0,0,33.42,0.00,False
Player 1,Defender,426,545,105.04,84,0,98,0,32,34.16,10.90,False
Player 1,Defender,430,352,77.99,53,0,47,0,57,34.40,7.04,False
Player 1,Defender,436,0,0.50,0,0,0,0,0,34.58,0.00,False
Player 1,Defender,440,0,0.50,0,0,0,0,0,34.76,0.00,False
Player 1,Defender,444,0,0.50,0,0,0,0,0,35.10,0.00,False
Player 1,Defender,446,210,39.57,34,0,16,0,85,35.34,4.20,False
Player 1,Defender,450,263,60.69,28,0,32,0,78,35.64,5.26,False
Player 1,Defender,454,603,122.19,114,0,98,0,29,35.94,12.06,False
Player 1,Defender,460,0,0.50,0,0,0,0,0,36.30,0.00,False
Player 1,Defender,464,0,0.50,0,0,0,0,0,36.38,0.00,False
Player 1,Defender,468,0,0.50,0,0,0,0,0,36.54,0.00,False
Player 1,Defender,472,0,0.50,0,0,0,0,0,37.28,0.00,False
